Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate,Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
18,0,48,1,14,1,100,69,66,1,0,9,8,2
29,0,30,2,20,0,71,40,57,1,2,28,8,3
20,0,47,1,11,0,60,43,79,1,1,13,7,3
23,0,13,0,0,1,63,70,60,1,1,24,10,1
19,0,24,0,19,1,59,63,93,1,2,26,8,2
28,0,26,1,5,1,63,54,80,0,0,25,8,3
19,0,49,2,13,1,91,44,66,1,1,30,10,3
27,1,14,2,5,1,88,56,76,1,1,4,6,2
22,1,45,3,16,0,52,78,70,0,1,26,9,1
23,1,40,1,20,0,74,44,93,0,2,15,10,3
23,1,14,3,18,1,77,56,74,0,0,9,6,2
23,0,24,3,4,0,67,73,93,1,2,28,7,1
27,1,44,2,20,0,80,60,51,1,1,27,6,2
25,0,28,2,13,1,85,90,76,1,2,5,8,0
19,1,11,3,20,1,81,93,93,0,2,6,9,0
18,1,8,1,9,1,52,97,69,0,1,1,5,0
22,1,11,1,11,0,50,74,96,1,2,13,7,1
19,0,28,0,19,0,50,64,80,1,2,20,8,2
19,1,30,2,0,1,89,97,90,1,1,26,10,0
20,1,48,3,16,1,81,76,82,1,2,29,9,1
18,0,14,2,4,1,90,75,73,1,0,12,9,1
25,1,41,2,6,1,68,93,100,0,2,23,7,0
25,0,36,3,3,1,96,83,66,1,1,8,7,1
22,0,38,2,7,1,91,61,50,1,1,19,10,2
19,1,48,1,1,1,86,52,86,1,1,30,9,3
19,1,40,0,16,1,100,63,74,0,2,29,7,2
24,0,39,1,9,0,79,90,91,1,2,21,6,0
29,1,39,3,5,0,76,41,79,0,1,20,5,3
20,1,23,1,3,1,59,57,81,1,2,9,5,2
22,0,6,0,18,0,85,80,76,0,2,16,7,1
23,1,25,0,12,1,55,63,85,1,0,14,4,2
28,0,32,0,5,0,53,54,96,1,0,0,10,3
19,1,41,0,12,1,57,60,67,0,2,15,5,2
26,0,26,1,3,1,53,48,76,0,1,19,4,3
20,0,11,3,3,1,58,73,62,0,2,22,7,1
21,0,20,1,1,1,64,99,62,0,0,2,4,0
24,1,12,3,8,1,98,65,58,1,2,0,5,2
27,1,41,2,14,0,65,56,74,1,1,26,9,2
28,0,46,1,8,0,77,51,88,1,1,23,5,3
22,0,38,0,5,1,96,54,92,0,0,16,5,3
20,0,45,3,9,0,78,42,58,1,1,24,8,3
26,0,23,3,10,0,94,42,65,1,2,11,6,3
25,1,35,0,16,1,50,83,88,1,0,8,4,1
19,1,12,1,5,1,50,78,66,1,1,0,8,1
25,0,38,1,6,1,88,76,100,1,1,12,9,1
19,1,44,0,17,1,98,44,66,1,0,4,4,3
21,0,33,3,9,1,99,87,79,0,0,21,7,0
23,0,26,3,3,1,62,64,71,1,1,10,6,2
19,1,47,1,2,0,52,44,84,1,2,11,10,3
25,1,39,2,15,1,88,89,63,0,2,5,5,0
23,1,21,3,1,1,89,59,74,1,2,18,8,2
21,0,5,3,19,1,71,69,77,1,0,30,6,2
29,1,19,2,5,0,53,85,71,0,2,29,9,0
29,0,36,2,17,1,52,46,51,1,1,27,7,3
20,1,14,1,2,1,52,83,77,1,0,19,9,1
25,0,41,1,6,1,59,69,53,0,1,11,6,2
26,0,32,2,7,1,71,94,89,0,1,18,10,0
18,1,21,1,12,1,100,55,75,0,2,28,4,2
20,0,21,1,10,1,72,44,83,1,1,12,6,3
24,0,31,1,6,1,88,60,77,1,1,11,6,2
24,0,9,1,11,0,88,95,87,0,2,23,5,0
24,1,12,1,14,0,57,57,73,1,2,4,7,2
27,1,42,0,11,0,83,66,60,0,2,21,7,2
19,1,11,3,3,0,91,73,73,0,2,2,9,1
18,0,35,3,2,0,96,54,96,1,0,5,9,3
22,1,9,2,7,1,53,72,87,0,2,10,8,1
20,0,46,3,13,0,55,45,52,0,2,7,7,3
23,1,9,3,3,1,53,83,78,0,1,2,8,1
19,1,7,0,12,0,79,76,72,1,2,10,5,1
25,1,22,3,6,0,75,88,68,0,2,19,9,0
29,0,34,0,3,1,53,47,99,0,2,27,6,3
25,0,31,2,11,1,76,80,69,1,1,24,5,1
23,1,38,1,0,1,62,93,96,1,2,5,6,0
26,1,39,2,15,0,88,53,57,1,0,13,8,3
25,0,23,3,5,1,62,76,61,1,0,0,6,1
24,1,43,2,16,1,61,54,63,1,1,23,8,3
20,0,34,1,18,0,76,57,61,1,2,25,5,2
23,1,12,3,8,1,75,70,52,1,1,10,8,1
28,0,28,2,0,1,98,99,99,1,2,1,4,0
18,1,23,2,0,0,89,81,70,1,2,13,9,1
19,0,35,1,9,1,90,61,92,0,2,2,8,2
20,1,5,2,14,0,71,44,61,0,2,2,5,3
29,0,11,3,4,1,74,59,80,0,2,18,4,2
24,0,24,3,9,1,55,51,95,1,2,2,10,3
19,0,15,2,15,1,61,94,54,0,0,20,10,0
25,0,40,0,15,1,58,88,87,0,1,28,7,0
27,0,12,2,19,1,58,92,86,0,1,26,5,0
26,1,8,1,17,0,63,43,72,1,2,26,4,3
29,0,12,2,15,1,57,74,57,0,2,13,8,1
29,0,22,3,6,0,100,61,87,1,2,19,5,2
19,1,25,3,12,1,80,94,52,1,1,15,10,0
26,0,16,0,9,0,81,75,75,0,2,19,9,1
28,0,39,2,13,0,100,100,96,1,2,15,8,0
22,0,34,2,17,0,86,44,95,1,1,12,9,3
24,1,30,1,7,0,80,93,80,1,1,1,7,0
23,0,11,0,10,0,63,47,81,1,1,0,4,3
26,1,16,2,14,1,89,83,59,1,0,12,4,1
20,1,47,0,5,0,73,68,59,1,1,29,10,2
18,0,49,3,6,0,91,55,59,1,2,19,8,2
26,1,16,1,19,0,54,55,62,1,0,15,5,2
19,0,38,1,0,1,74,40,68,0,2,27,9,3
22,1,41,2,18,1,56,54,81,1,1,7,6,3
22,0,46,2,17,0,54,71,78,0,0,26,5,1
21,0,5,2,20,1,63,84,54,1,2,14,8,1
23,0,23,2,7,1,61,98,50,1,1,4,4,0
23,1,10,2,17,0,52,61,51,1,0,17,4,2
25,0,45,1,20,1,75,42,92,1,2,28,6,3
21,0,48,3,6,1,66,78,86,1,2,14,7,1
27,0,31,2,1,1,79,57,58,0,1,20,7,2
24,1,33,0,18,1,59,62,69,0,1,8,10,2
19,0,23,3,6,0,56,59,81,1,2,27,10,2
28,0,23,3,2,0,76,89,98,0,0,28,10,0
27,1,13,2,5,0,79,63,80,1,2,5,8,2
28,0,36,1,0,0,52,48,68,1,0,15,8,3
28,1,16,3,10,1,67,57,55,1,0,30,10,2
21,0,15,1,16,0,97,95,72,1,2,4,4,0
24,0,10,3,2,0,61,40,75,0,1,23,5,3
25,0,30,0,4,0,58,81,57,1,2,27,8,1
21,0,48,1,8,0,89,96,61,1,0,11,6,0
25,0,24,3,2,0,73,79,70,0,0,15,7,1
22,0,39,1,6,1,64,74,52,1,2,20,4,1
28,1,29,0,19,0,99,83,92,0,1,4,8,1
29,0,30,2,17,1,92,77,52,0,2,2,7,1
26,0,14,1,16,1,89,73,67,1,1,6,5,1
28,1,32,1,2,0,66,79,61,0,2,20,8,1
21,1,10,1,4,1,58,58,88,1,0,5,4,2
18,1,15,2,0,1,97,64,57,1,2,7,9,2
20,1,11,1,17,1,95,97,92,0,2,4,10,0
27,0,12,3,5,1,68,87,52,0,2,19,8,0
18,1,14,3,2,1,84,80,84,0,1,7,9,1
21,0,42,1,5,0,53,84,93,1,1,16,4,1
27,0,40,3,19,0,60,83,57,1,1,21,10,1
23,0,21,0,11,0,79,56,84,1,2,13,5,2
27,1,17,0,6,0,100,68,96,1,1,13,9,2
23,0,43,0,14,1,67,83,80,1,2,15,7,1
23,0,7,0,11,0,73,95,59,1,2,8,8,0
21,1,23,3,14,1,89,70,96,1,0,1,6,1
21,1,12,2,4,1,76,44,93,1,1,0,4,3
20,1,27,2,14,1,63,45,73,1,2,27,6,3
21,0,17,3,18,1,93,92,53,1,1,8,7,0
25,1,42,2,8,1,70,88,86,1,1,19,8,0
18,0,35,3,1,0,60,76,85,1,2,18,6,1
20,0,37,2,13,1,52,55,80,0,1,5,7,2
28,1,16,3,2,1,50,96,68,1,2,11,5,0
28,0,20,3,11,1,93,59,96,0,0,16,5,2
23,1,30,1,18,0,68,80,77,1,2,23,5,1
21,1,30,0,10,0,68,53,69,1,1,13,4,3
21,1,46,3,19,0,91,92,91,0,2,15,8,0
26,0,36,1,11,1,60,78,97,1,0,18,4,1
20,0,45,3,14,1,62,74,58,1,0,19,4,1
28,1,11,0,8,0,89,48,52,0,2,2,5,3
23,1,42,2,8,0,84,54,55,1,1,13,9,3
29,1,15,0,9,0,89,71,51,1,2,11,10,1
27,1,29,1,18,1,94,98,57,1,1,29,9,0
18,0,6,1,4,0,50,46,97,1,2,0,4,3
24,0,6,0,8,0,61,63,85,1,2,22,7,2
19,1,47,2,11,1,56,72,52,1,1,7,9,1
25,1,20,1,10,1,61,59,98,1,2,21,4,2
22,1,10,2,15,0,63,80,80,1,1,19,4,1
20,1,49,3,3,1,69,47,56,1,0,6,9,3
21,1,24,3,0,1,71,78,74,1,2,12,6,1
28,0,40,2,19,0,90,44,74,1,1,18,9,3
29,1,8,3,1,1,91,92,83,0,1,3,10,0
22,1,5,0,3,1,86,61,96,1,1,7,4,2
27,1,35,0,8,0,81,53,76,0,1,22,4,3
27,0,43,2,11,1,66,80,99,1,0,2,6,1
18,1,16,3,20,1,76,65,51,1,2,15,9,2
